Wavelength (nm)	KL13 abs N
670.00	0.11549
671.00	0.11803
672.00	0.12058
673.00	0.12310
674.00	0.12594
675.00	0.12842
676.00	0.13150
677.00	0.13496
678.00	0.13841
679.00	0.14161
680.00	0.14496
681.00	0.14857
682.00	0.15290
683.00	0.15669
684.00	0.16068
685.00	0.16464
686.00	0.16905
687.00	0.17396
688.00	0.17861
689.00	0.18380
690.00	0.18884
691.00	0.19404
692.00	0.19880
693.00	0.20464
694.00	0.20975
695.00	0.21572
696.00	0.22150
697.00	0.22710
698.00	0.23293
699.00	0.23896
700.00	0.24460
701.00	0.25057
702.00	0.25689
703.00	0.26230
704.00	0.26811
705.00	0.27390
706.00	0.27936
707.00	0.28470
708.00	0.28976
709.00	0.29551
710.00	0.30069
711.00	0.30539
712.00	0.30971
713.00	0.31397
714.00	0.31787
715.00	0.32174
716.00	0.32597
717.00	0.32889
718.00	0.33224
719.00	0.33540
720.00	0.33784
721.00	0.34039
722.00	0.34267
723.00	0.34534
724.00	0.34711
725.00	0.34866
726.00	0.35027
727.00	0.35154
728.00	0.35356
729.00	0.35575
730.00	0.35668
731.00	0.35857
732.00	0.36025
733.00	0.36305
734.00	0.36473
735.00	0.36680
736.00	0.36942
737.00	0.37209
738.00	0.37499
739.00	0.37870
740.00	0.38193
741.00	0.38655
742.00	0.39227
743.00	0.39753
744.00	0.40313
745.00	0.40967
746.00	0.41690
747.00	0.42444
748.00	0.43232
749.00	0.44119
750.00	0.45053
751.00	0.46126
752.00	0.47238
753.00	0.48417
754.00	0.49623
755.00	0.50961
756.00	0.52469
757.00	0.53877
758.00	0.55411
759.00	0.56904
760.00	0.58680
761.00	0.60307
762.00	0.62191
763.00	0.63918
764.00	0.65757
765.00	0.67757
766.00	0.69631
767.00	0.71542
768.00	0.73735
769.00	0.75781
770.00	0.77721
771.00	0.79508
772.00	0.81580
773.00	0.83632
774.00	0.85320
775.00	0.87191
776.00	0.89067
777.00	0.90777
778.00	0.92416
779.00	0.93783
780.00	0.95020
781.00	0.96370
782.00	0.97150
783.00	0.97779
784.00	0.99129
785.00	0.99319
786.00	0.99658
787.00	0.99904
788.00	0.99979
789.00	1.00000
790.00	0.99321
791.00	0.98746
792.00	0.97950
793.00	0.96714
794.00	0.95674
795.00	0.94609
796.00	0.92904
797.00	0.91347
798.00	0.89431
799.00	0.87444
800.00	0.85202
801.00	0.82932
802.00	0.80633
803.00	0.78295
804.00	0.75749
805.00	0.72970
806.00	0.70427
807.00	0.68011
808.00	0.65401
809.00	0.62709
810.00	0.60279
811.00	0.57422
812.00	0.54905
813.00	0.52251
814.00	0.49792
815.00	0.47519
816.00	0.45018
817.00	0.42494
818.00	0.40372
819.00	0.38234
820.00	0.36103
821.00	0.34002
822.00	0.32118
823.00	0.30300
824.00	0.28494
825.00	0.26682
826.00	0.25064
827.00	0.23574
828.00	0.22094
829.00	0.20707
830.00	0.19379
831.00	0.18208
832.00	0.16946
833.00	0.15780
834.00	0.14701
835.00	0.13744
836.00	0.12893
837.00	0.12011
838.00	0.11180
839.00	0.10394
840.00	0.096540
841.00	0.089756
842.00	0.084018
843.00	0.076810
844.00	0.071620
845.00	0.066687
846.00	0.062038
847.00	0.057285
848.00	0.053135
849.00	0.049212
850.00	0.045438
851.00	0.041662
852.00	0.038098
853.00	0.035673
854.00	0.033044
855.00	0.031095
856.00	0.028739
857.00	0.026439
858.00	0.024531
859.00	0.022223
860.00	0.020856
861.00	0.018754
862.00	0.017542
863.00	0.016163
864.00	0.015491
865.00	0.014152
866.00	0.013286
867.00	0.012179
868.00	0.011591
869.00	0.010690
870.00	0.0098187
871.00	0.0092343
872.00	0.0084430
873.00	0.0074913
874.00	0.0073072
875.00	0.0066579
876.00	0.0064483
877.00	0.0064781
878.00	0.0054015
879.00	0.0054843
880.00	0.0047422
881.00	0.0052571
882.00	0.0048743
883.00	0.0045146
884.00	0.0038492
885.00	0.0043788
886.00	0.0039046
887.00	0.0038298
888.00	0.0034110
889.00	0.0034318
890.00	0.0027168
891.00	0.0033665
892.00	0.0030660
893.00	0.0027508
894.00	0.0025838
895.00	0.0023183
896.00	0.0027182
897.00	0.0025890
898.00	0.0026074
899.00	0.0029832
900.00	0.0024366
901.00	0.0019889
902.00	0.0019411
903.00	0.0018507
904.00	0.0023325
905.00	0.0021347
906.00	0.0026917
907.00	0.0023083
908.00	0.0025947
909.00	0.0022090
910.00	0.0023950
911.00	0.0016737
912.00	0.0017859
913.00	0.0022009
914.00	0.0017868
915.00	0.0018313
916.00	0.0020765
917.00	0.0017532
918.00	0.0014636
919.00	0.0026202
920.00	0.0021261
921.00	0.0020556
922.00	0.0018214
923.00	0.0014414
924.00	0.0017438
925.00	0.0017452
926.00	0.0017551
927.00	0.0017741
928.00	0.0013604
929.00	0.0021025
930.00	0.0019686
931.00	0.0022265
932.00	0.0017258
933.00	0.0027669
934.00	0.0017031
935.00	0.0016874
936.00	0.0021597
937.00	0.0019269
938.00	0.0019927
939.00	0.0015994
940.00	0.0017557
941.00	0.0025109
942.00	0.0018465
943.00	0.0026581
944.00	0.0025024
945.00	0.0021134
946.00	0.0022109
947.00	0.0020618
948.00	0.0024475
949.00	0.0022889
950.00	0.0025185
