Wavelength (nm)	P02 abs N
440.20	0.98715
440.40	0.98631
440.60	0.98517
440.80	0.98318
441.00	0.98190
441.20	0.98083
441.40	0.97950
441.60	0.97833
441.80	0.97712
442.00	0.97515
442.20	0.97375
442.40	0.97261
442.60	0.97060
442.80	0.96967
443.00	0.96887
443.20	0.96623
443.40	0.96414
443.60	0.96297
443.80	0.96127
444.00	0.95892
444.20	0.95725
444.40	0.95557
444.60	0.95338
444.80	0.95115
445.00	0.94911
445.20	0.94714
445.40	0.94481
445.60	0.94322
445.80	0.94099
446.00	0.93855
446.20	0.93686
446.40	0.93418
446.60	0.93285
446.80	0.92950
447.00	0.92735
447.20	0.92478
447.40	0.92215
447.60	0.91960
447.80	0.91723
448.00	0.91457
448.20	0.91191
448.40	0.90897
448.60	0.90628
448.80	0.90398
449.00	0.90109
449.20	0.89817
449.40	0.89548
449.60	0.89221
449.80	0.88969
450.00	0.88639
450.20	0.88388
450.40	0.88074
450.60	0.87730
450.80	0.87350
451.00	0.87077
451.20	0.86783
451.40	0.86406
451.60	0.86133
451.80	0.85757
452.00	0.85396
452.20	0.85128
452.40	0.84807
452.60	0.84447
452.80	0.84157
453.00	0.83799
453.20	0.83443
453.40	0.83101
453.60	0.82759
453.80	0.82339
454.00	0.81997
454.20	0.81660
454.40	0.81301
454.60	0.80926
454.80	0.80546
455.00	0.80153
455.20	0.79725
455.40	0.79466
455.60	0.79129
455.80	0.78714
456.00	0.78320
456.20	0.77949
456.40	0.77536
456.60	0.77152
456.80	0.76748
457.00	0.76335
457.20	0.76000
457.40	0.75628
457.60	0.75170
457.80	0.74730
458.00	0.74386
458.20	0.73951
458.40	0.73596
458.60	0.73180
458.80	0.72790
459.00	0.72373
459.20	0.71981
459.40	0.71549
459.60	0.71162
459.80	0.70740
460.00	0.70343
460.20	0.69897
460.40	0.69467
460.60	0.69037
460.80	0.68615
461.00	0.68242
461.20	0.67760
461.40	0.67380
461.60	0.66936
461.80	0.66497
462.00	0.66082
462.20	0.65629
462.40	0.65192
462.60	0.64766
462.80	0.64403
463.00	0.63938
463.20	0.63475
463.40	0.63091
463.60	0.62649
463.80	0.62058
464.00	0.61697
464.20	0.61301
464.40	0.60906
464.60	0.60455
464.80	0.60078
465.00	0.59561
465.20	0.59110
465.40	0.58654
465.60	0.58234
465.80	0.57787
466.00	0.57393
466.20	0.56914
466.40	0.56455
466.60	0.56068
466.80	0.55593
