Wavelength (nm)	O06 abs N
454.00	0.0015537
454.25	0.0018973
454.50	0.0038767
454.75	0.0016134
455.00	0.00097104
455.25	0.0016657
455.50	1.4939e-05
455.75	0.0018300
456.00	0.00024649
456.25	0.0016433
456.50	0.00069467
456.75	0.0016806
457.00	0.0016209
457.25	0.00026143
457.50	0.0012922
457.75	0.00064238
458.00	0.0020989
458.25	0.0019271
458.50	0.0033613
458.75	0.0013819
459.00	0.0022782
459.25	0.0034584
459.50	0.0019495
459.75	0.0020989
460.00	0.00052287
460.25	0.0011130
460.50	0.00023902
460.75	0.0022782
461.00	0.0020616
461.25	0.0029878
461.50	0.0028758
461.75	8.8947e-07
462.00	0.0014416
462.25	0.0027338
462.50	0.0013893
462.75	0.0021736
463.00	0.0018151
463.25	0.0015014
463.50	0.00050793
463.75	0.00096357
464.00	0.0014640
464.25	0.00059009
464.50	0.0023828
464.75	0.00024649
465.00	0.0023902
465.25	0.0013520
465.50	0.0018599
465.75	0.0016732
466.00	0.00038842
466.25	0.0023454
466.50	0.0025620
466.75	0.0024500
467.00	0.0022483
467.25	0.0029953
467.50	0.0027861
467.75	0.0026069
468.00	0.0028683
468.25	0.0023828
468.50	0.0021587
468.75	0.0023753
469.00	0.0032194
469.25	0.0015611
469.50	0.0017777
469.75	0.0020093
470.00	0.0020989
470.25	0.00062744
470.50	0.00095610
470.75	0.0035181
471.00	0.0022633
471.25	0.0019944
471.50	-0.00026143
471.75	-0.00041082
472.00	0.0022782
472.25	8.2165e-05
472.50	0.0013370
472.75	0.0022110
473.00	0.0030177
473.25	0.0024127
473.50	0.0017255
473.75	0.0013221
474.00	4.4817e-05
474.25	0.0027861
474.50	-0.00046311
474.75	0.0015835
475.00	0.0017927
475.25	0.0015835
475.50	0.0021064
475.75	0.00073201
476.00	0.0012848
476.25	0.0018973
476.50	0.0030027
476.75	0.0013819
477.00	0.0014566
477.25	0.0013146
477.50	0.0020541
477.75	0.0018300
478.00	0.00090381
478.25	0.0016657
478.50	0.0019869
478.75	0.0033314
479.00	0.0019944
479.25	0.00032866
479.50	0.0023230
479.75	0.00097851
480.00	0.0016134
480.25	0.00070960
480.50	0.0010980
480.75	0.0020989
481.00	0.0035928
481.25	0.00063491
481.50	0.00097851
481.75	0.0026069
482.00	0.0023902
482.25	0.0018599
482.50	0.0013893
482.75	0.0017105
483.00	0.0025396
483.25	0.0028309
483.50	0.0018599
483.75	0.0020541
484.00	0.00067226
484.25	0.0032268
484.50	0.00088140
484.75	0.0028608
485.00	0.0021886
485.25	0.0027264
485.50	0.0022558
485.75	0.0019197
486.00	-8.2165e-05
486.25	0.0015163
486.50	0.0022633
486.75	0.00042576
487.00	0.0023604
487.25	0.0016881
487.50	0.0022857
487.75	0.00099345
488.00	0.0014790
488.25	0.0017329
488.50	0.0024724
488.75	0.0017479
489.00	0.00069467
489.25	0.0014715
489.50	0.0020765
489.75	0.00092622
490.00	0.0029729
490.25	0.0028160
490.50	0.00053034
490.75	0.0025471
491.00	0.0017255
491.25	0.0027114
491.50	0.0018226
491.75	0.0020915
492.00	0.00084406
492.25	0.00042576
492.50	-0.00026143
492.75	0.0010607
493.00	0.0017628
493.25	0.00043323
493.50	0.0021288
493.75	0.0011204
494.00	0.0023230
494.25	0.0011055
494.50	-0.00013445
494.75	0.00039588
495.00	-0.00057515
495.25	0.0026816
495.50	0.00061997
495.75	0.0012549
496.00	0.0021213
496.25	0.00073201
496.50	0.0030999
496.75	0.00046311
497.00	0.0017180
497.25	0.00053781
497.50	0.0011727
497.75	0.00098598
498.00	0.0013221
498.25	0.0016209
498.50	0.00052287
498.75	0.0022633
499.00	0.0025471
499.25	0.0019794
499.50	0.0023305
499.75	0.0022857
500.00	0.0010756
