Wavelength (nm)	S09 abs N
466.00	0.020650
466.19	0.023197
466.38	0.020618
466.56	0.021612
466.75	0.018931
466.94	0.021370
467.13	0.020657
467.31	0.020421
467.50	0.021121
467.69	0.019555
467.88	0.020485
468.06	0.018969
468.25	0.020001
468.44	0.018740
468.63	0.017861
468.81	0.019549
469.00	0.018122
469.19	0.018180
469.38	0.018664
469.56	0.017435
469.75	0.016282
469.94	0.018734
470.13	0.016078
470.31	0.017460
470.50	0.016944
470.69	0.015925
470.88	0.016257
471.06	0.016422
471.25	0.016620
471.44	0.016212
471.63	0.016027
471.81	0.015945
472.00	0.015811
472.19	0.015480
472.38	0.016811
472.56	0.014206
472.75	0.014945
472.94	0.014365
473.13	0.013926
473.31	0.013251
473.50	0.013983
473.69	0.013620
473.88	0.014798
474.06	0.013646
474.25	0.014582
474.44	0.015072
474.63	0.013614
474.81	0.012239
475.00	0.013576
475.19	0.014053
475.38	0.013098
475.56	0.013468
475.75	0.013015
475.94	0.012888
476.13	0.012697
476.31	0.013741
476.50	0.013818
476.69	0.012277
476.88	0.012939
477.06	0.013442
477.25	0.013028
477.44	0.012761
477.63	0.011755
477.81	0.011086
478.00	0.011595
478.19	0.011233
478.38	0.012099
478.56	0.011812
478.75	0.012487
478.94	0.012130
479.13	0.010131
479.31	0.010405
479.50	0.010105
479.69	0.0096788
479.88	0.011901
480.06	0.011958
480.25	0.012200
480.44	0.012277
480.63	0.010876
480.81	0.010507
481.00	0.011283
481.19	0.0099908
481.38	0.0099781
481.56	0.011398
481.75	0.010456
481.94	0.010698
482.13	0.010488
482.31	0.010424
482.50	0.0098890
482.69	0.010978
482.88	0.010335
483.06	0.0091630
483.25	0.010086
483.44	0.0088128
483.63	0.0083352
483.81	0.0099272
484.00	0.0097234
484.19	0.010468
484.38	0.0097361
484.56	0.010742
484.75	0.0095706
484.94	0.0093095
485.13	0.0091503
485.31	0.0096916
485.50	0.0082779
485.69	0.0085199
485.88	0.0098062
486.06	0.0095960
486.25	0.0088701
486.44	0.0086345
486.63	0.0095960
486.81	0.0093795
487.00	0.0095260
487.19	0.010647
487.38	0.0088574
487.56	0.0076093
487.75	0.0094432
487.94	0.0093413
488.13	0.0089020
488.31	0.0079468
488.50	0.010188
488.69	0.0098062
488.88	0.0081506
489.06	0.0097425
489.25	0.0094432
489.44	0.0098444
489.63	0.0080678
489.81	0.0095897
490.00	0.0091821
490.19	0.0092840
490.38	0.0078258
490.56	0.0084562
490.75	0.010150
490.94	0.0087937
491.13	0.0080678
491.31	0.0086282
491.50	0.0091248
491.69	0.0085645
491.88	0.0081379
492.06	0.0073101
492.25	0.0084053
492.44	0.0090930
492.63	0.0088065
492.81	0.0085390
493.00	0.0083798
493.19	0.0093986
493.38	0.0080296
493.56	0.0089274
493.75	0.0099654
493.94	0.0089656
494.13	0.0085199
494.31	0.0085518
494.50	0.0096916
494.69	0.0096470
494.88	0.0095069
495.06	0.0084944
495.25	0.0089147
495.44	0.0077685
495.63	0.0092522
495.81	0.010125
496.00	0.0086791
496.19	0.0092840
496.38	0.0098507
496.56	0.0084371
496.75	0.010010
496.94	0.0085709
497.13	0.0099845
497.31	0.0093923
497.50	0.0082015
497.69	0.0096215
497.88	0.0095960
498.06	0.0082079
498.25	0.0078704
498.44	0.0089147
498.63	0.010042
498.81	0.0096597
499.00	0.0090548
499.19	0.0094177
499.38	0.0099526
499.56	0.0097616
499.75	0.0091057
499.94	0.0097552
500.13	0.0081570
500.31	0.010659
500.50	0.0094114
500.69	0.0095706
500.88	0.0084562
501.06	0.0095069
501.25	0.011118
501.44	0.010704
501.63	0.0095833
501.81	0.010316
502.00	0.0094623
502.19	0.010831
502.38	0.010131
502.56	0.0093031
502.75	0.010201
502.94	0.0090930
503.13	0.0096088
503.31	0.0092395
503.50	0.010182
503.69	0.010430
503.88	0.011207
504.06	0.010233
504.25	0.0090102
504.44	0.0097234
504.63	0.010023
504.81	0.0084817
505.00	0.0095960
505.19	0.0094050
505.38	0.0093923
505.56	0.011029
505.75	0.0083544
505.94	0.0090930
506.13	0.0082652
506.31	0.0083416
506.50	0.0085326
506.69	0.0099272
506.88	0.010074
507.06	0.0087555
507.25	0.010449
507.44	0.0093604
507.63	0.0077431
507.81	0.0093031
508.00	0.010004
508.19	0.0082779
508.38	0.0087746
508.56	0.0078704
508.75	0.0098699
508.94	0.0099081
509.13	0.0080487
509.31	0.0078131
509.50	0.0099208
509.69	0.0093986
509.88	0.0086855
510.06	0.0087491
510.25	0.0083671
510.44	0.0088319
510.63	0.0089465
510.81	0.010010
511.00	0.0087173
511.19	0.0081442
511.38	0.0097616
511.56	0.010443
511.75	0.0085135
511.94	0.0082843
512.12	0.0072782
512.31	0.0093413
512.50	0.0076985
512.69	0.0081633
512.88	0.0083735
513.06	0.0090039
513.25	0.0083735
513.44	0.0080996
513.62	0.0081633
513.81	0.0068771
514.00	0.0070299
514.19	0.0065141
514.37	0.0075711
514.56	0.0088765
514.75	0.0060238
514.94	0.0085072
515.12	0.0093477
515.31	0.0078959
515.50	0.0066287
515.69	0.0073164
515.87	0.0076093
516.06	0.0066160
516.25	0.0080487
516.44	0.0074247
516.62	0.0081251
516.81	0.0063613
517.00	0.0081697
517.19	0.0060556
517.37	0.0070044
517.56	0.0068707
517.75	0.0073483
517.94	0.0071445
518.13	0.0069917
518.31	0.0057882
518.50	0.0076985
518.69	0.0071827
518.88	0.0076093
519.06	0.0080105
519.25	0.0062785
519.44	0.0054889
519.62	0.0079787
519.81	0.0063040
520.00	0.0077685
520.19	0.0060875
520.38	0.0062467
520.56	0.0057882
520.75	0.0063804
520.94	0.0064186
521.12	0.0051451
521.31	0.0067497
521.50	0.0040371
521.69	0.0060938
521.87	0.0070745
522.06	0.0064823
522.25	0.0059601
522.44	0.0068197
522.63	0.0067497
522.81	0.0067879
523.00	0.0053679
523.19	0.0059601
523.37	0.0051069
523.56	0.0060875
523.75	0.0041772
523.94	0.0066542
524.12	0.0066287
524.31	0.0052278
524.50	0.0064441
524.69	0.0066287
524.87	0.0047948
525.06	0.0052597
525.25	0.0057882
525.44	0.0057245
