Wavelength (nm)	N02 abs N	N02 abs e
576.00	0.0017336	130.02
577.00	0.0018053	135.40
578.00	0.0018331	137.48
579.00	0.0018782	140.86
580.00	0.0018994	142.46
581.00	0.0017817	133.63
582.00	0.0016533	124.00
583.00	0.0015954	119.66
584.00	0.0017972	134.79
585.00	0.0017146	128.60
586.00	0.0015305	114.79
587.00	0.0017346	130.10
588.00	0.0016408	123.06
589.00	0.0016644	124.83
590.00	0.0016781	125.86
591.00	0.0016965	127.24
592.00	0.0017692	132.69
593.00	0.0016328	122.46
594.00	0.0016307	122.30
595.00	0.0016514	123.86
596.00	0.0016235	121.77
597.00	0.0015905	119.29
598.00	0.0015420	115.65
599.00	0.0017003	127.52
600.00	0.0016631	124.73
