Wavelength (nm)	R06 abs N
466.75	0.14322
467.00	0.14534
467.25	0.14611
467.50	0.14697
467.75	0.14687
468.00	0.14771
468.25	0.14773
468.50	0.14962
468.75	0.14977
469.00	0.14901
469.25	0.14999
469.50	0.15079
469.75	0.15248
470.00	0.14989
470.25	0.15111
470.50	0.15315
470.75	0.15398
471.00	0.15409
471.25	0.15476
471.50	0.15618
471.75	0.15613
472.00	0.15791
472.25	0.15646
472.50	0.15675
472.75	0.15933
473.00	0.16070
473.25	0.15985
473.50	0.15934
473.75	0.16290
474.00	0.16298
474.25	0.16177
474.50	0.16386
474.75	0.16397
475.00	0.16384
475.25	0.16491
475.50	0.16711
475.75	0.16433
476.00	0.16629
476.25	0.16795
476.50	0.16685
476.75	0.16925
477.00	0.16942
477.25	0.17113
477.50	0.17003
477.75	0.17023
478.00	0.17094
478.25	0.17117
478.50	0.17171
478.75	0.17230
479.00	0.17282
479.25	0.17479
479.50	0.17521
479.75	0.17557
480.00	0.17692
480.25	0.17684
480.50	0.17597
480.75	0.17711
481.00	0.17802
481.25	0.17686
481.50	0.17868
481.75	0.18011
482.00	0.18218
482.25	0.18084
482.50	0.18259
482.75	0.18176
483.00	0.18287
483.25	0.18171
483.50	0.18183
483.75	0.18438
484.00	0.18247
484.25	0.18385
484.50	0.18457
484.75	0.18460
485.00	0.18620
485.25	0.18576
485.50	0.18579
485.75	0.18664
486.00	0.18809
486.25	0.18868
486.50	0.18879
486.75	0.18926
487.00	0.18978
487.25	0.18974
487.50	0.18986
487.75	0.18978
488.00	0.19167
488.25	0.19102
488.50	0.19160
488.75	0.19253
489.00	0.19032
489.25	0.19199
489.50	0.19313
489.75	0.19622
490.00	0.19463
490.25	0.19568
490.50	0.19481
490.75	0.19700
491.00	0.19606
491.25	0.19728
491.50	0.19747
491.75	0.20012
492.00	0.20055
492.25	0.19932
492.50	0.20252
492.75	0.20227
493.00	0.20245
493.25	0.20335
493.50	0.20235
493.75	0.20398
494.00	0.20394
494.25	0.20518
494.50	0.20465
494.75	0.20480
495.00	0.20712
495.25	0.20794
495.50	0.20738
495.75	0.20938
496.00	0.20956
496.25	0.20929
496.50	0.20955
496.75	0.21110
497.00	0.21160
497.25	0.21299
497.50	0.21308
497.75	0.21491
498.00	0.21512
498.25	0.21628
498.50	0.21621
498.75	0.21617
499.00	0.21921
499.25	0.21927
499.50	0.22084
499.75	0.22225
500.00	0.22393
500.25	0.22437
500.50	0.22702
500.75	0.22655
501.00	0.22685
501.25	0.22861
501.50	0.22844
501.75	0.23092
502.00	0.22971
502.25	0.23284
502.50	0.23397
502.75	0.23444
503.00	0.23433
503.25	0.23467
503.50	0.23944
503.75	0.23952
504.00	0.24180
504.25	0.23999
504.50	0.24005
504.75	0.24120
505.00	0.24411
505.25	0.24382
505.50	0.24260
505.75	0.24925
506.00	0.24680
506.25	0.25102
506.50	0.24866
506.75	0.24828
507.00	0.25221
507.25	0.25383
507.50	0.25447
507.75	0.25299
508.00	0.25598
508.25	0.25761
508.50	0.25601
508.75	0.25835
509.00	0.25968
509.25	0.26272
509.50	0.26082
509.75	0.26236
510.00	0.26152
510.25	0.26546
510.50	0.26523
510.75	0.26543
511.00	0.26682
511.25	0.26797
511.50	0.26870
511.75	0.26808
512.00	0.27038
512.25	0.27075
512.50	0.27113
512.75	0.27087
513.00	0.27294
513.25	0.27376
513.50	0.27168
513.75	0.27477
514.00	0.27475
514.25	0.27396
514.50	0.27643
514.75	0.27638
515.00	0.27676
515.25	0.27786
515.50	0.27734
515.75	0.27888
516.00	0.27873
516.25	0.27667
516.50	0.27766
516.75	0.27893
517.00	0.27960
517.25	0.27914
517.50	0.28132
517.75	0.27991
518.00	0.27877
518.25	0.28010
518.50	0.27972
518.75	0.28022
519.00	0.27839
519.25	0.28093
519.50	0.28041
519.75	0.28309
520.00	0.28123
520.25	0.28138
520.50	0.28158
520.75	0.28006
521.00	0.28145
521.25	0.27920
521.50	0.27964
521.75	0.28066
522.00	0.27908
522.25	0.28049
522.50	0.28011
522.75	0.27920
523.00	0.28101
523.25	0.28097
523.50	0.27847
523.75	0.27964
524.00	0.27971
524.25	0.27793
524.50	0.27864
524.75	0.27871
525.00	0.27975
525.25	0.27890
525.50	0.27792
525.75	0.27945
526.00	0.28000
526.25	0.27863
526.50	0.27840
526.75	0.27874
527.00	0.27741
527.25	0.27834
527.50	0.28016
527.75	0.27870
528.00	0.27976
528.25	0.28001
528.50	0.28034
528.75	0.27897
529.00	0.27835
529.25	0.27864
529.50	0.28103
529.75	0.28071
530.00	0.27838
530.25	0.28129
530.50	0.27964
530.75	0.28066
531.00	0.27694
531.25	0.28043
531.50	0.27899
531.75	0.28080
532.00	0.28012
532.25	0.27969
532.50	0.28103
532.75	0.28141
533.00	0.28052
533.25	0.28200
533.50	0.27928
533.75	0.28223
534.00	0.28144
534.25	0.28262
534.50	0.28213
534.75	0.28510
535.00	0.28228
535.25	0.28191
535.50	0.28450
535.75	0.28418
536.00	0.28694
536.25	0.28421
536.50	0.28770
536.75	0.28668
537.00	0.28801
537.25	0.28568
537.50	0.28819
537.75	0.28838
538.00	0.29029
538.25	0.29006
538.50	0.29106
538.75	0.29181
539.00	0.29175
539.25	0.29280
539.50	0.29486
539.75	0.29162
540.00	0.29445
540.25	0.29590
540.50	0.29816
540.75	0.29682
541.00	0.29913
541.25	0.29847
541.50	0.29968
541.75	0.30157
542.00	0.29824
542.25	0.30039
542.50	0.30152
542.75	0.30395
543.00	0.30279
543.25	0.30486
543.50	0.30561
543.75	0.30674
544.00	0.30782
544.25	0.30730
544.50	0.30714
544.75	0.30929
545.00	0.30820
545.25	0.31163
545.50	0.31024
545.75	0.31169
546.00	0.31318
546.25	0.31267
546.50	0.31149
546.75	0.31136
547.00	0.31448
547.25	0.31275
547.50	0.31293
547.75	0.31537
548.00	0.31518
548.25	0.31549
548.50	0.31597
548.75	0.31694
549.00	0.31486
549.25	0.31518
549.50	0.31757
549.75	0.31891
550.00	0.31780
550.25	0.31609
550.50	0.31747
550.75	0.31529
551.00	0.31494
551.25	0.31445
551.50	0.31541
551.75	0.31579
552.00	0.31580
552.25	0.31398
552.50	0.31526
552.75	0.31490
553.00	0.31242
553.25	0.31109
553.50	0.30911
553.75	0.31260
554.00	0.31222
554.25	0.30843
554.50	0.30929
554.75	0.30834
555.00	0.30737
555.25	0.30528
555.50	0.30349
555.75	0.30398
556.00	0.30369
556.25	0.30121
