Wavelength (nm)	B02 abs N
379.00	0.0013911
379.25	0.0017481
379.50	0.0036019
379.75	0.0013260
380.00	0.0037521
380.25	0.0018813
380.50	0.0022470
380.75	0.00034977
381.00	0.0017897
381.25	0.0011781
381.50	0.0033841
381.75	0.00096732
382.00	0.0029972
382.25	0.0024560
382.50	-9.2839e-05
382.75	0.0049133
383.00	-0.0014923
383.25	0.0022194
383.50	-0.00057596
383.75	-9.5776e-05
384.00	0.0023832
384.25	0.0025552
384.50	0.0019611
384.75	0.00044252
385.00	-0.0020183
385.25	0.0017727
385.50	0.0022001
385.75	0.0017997
386.00	0.00066852
386.25	0.00060277
386.50	0.0034252
386.75	0.0031305
387.00	0.00088102
387.25	0.0022858
387.50	0.0032766
387.75	0.0013090
388.00	0.0011023
388.25	0.0020052
388.50	0.0019130
388.75	0.0031416
389.00	0.0011827
389.25	0.0015220
389.50	0.0030412
389.75	-7.9934e-05
390.00	5.6842e-05
390.25	0.0014792
390.50	0.00013668
390.75	0.0026685
391.00	-5.6454e-05
391.25	0.0022112
391.50	0.0026209
391.75	0.0011552
392.00	0.0015209
392.25	0.0023621
392.50	0.0038637
392.75	0.0018079
393.00	0.00073837
393.25	0.00076067
393.50	-0.00084600
393.75	0.0017475
394.00	0.0020251
394.25	-3.9435e-05
394.50	0.0014093
394.75	0.00036620
395.00	0.0012690
395.25	0.0030172
395.50	0.0010407
395.75	0.00035856
396.00	-0.00064935
396.25	0.0016976
396.50	0.0011299
396.75	0.00086164
397.00	0.0010248
397.25	-0.00041454
397.50	0.0017474
397.75	-0.00013219
398.00	0.0049620
398.25	0.0019905
398.50	0.0034657
398.75	0.0025106
399.00	0.00067496
399.25	-0.00053547
399.50	0.0017146
399.75	0.0012614
400.00	0.00078180
