Wavelength (nm)	S10 abs N
510.38	0.13081
510.56	0.13072
510.75	0.13298
510.94	0.13407
511.13	0.13485
511.31	0.13745
511.50	0.13912
511.69	0.14078
511.88	0.14224
512.06	0.14521
512.25	0.14523
512.44	0.14597
512.63	0.14963
512.81	0.15082
513.00	0.15118
513.19	0.15277
513.37	0.15246
513.56	0.15484
513.75	0.15908
513.94	0.15788
514.13	0.16071
514.31	0.15976
514.50	0.16356
514.69	0.16488
514.87	0.16642
515.06	0.16753
515.25	0.16762
515.44	0.16703
515.62	0.16913
515.81	0.16984
516.00	0.17213
516.19	0.17156
516.38	0.17294
516.56	0.17507
516.75	0.17511
516.94	0.17415
517.12	0.17742
517.31	0.17781
517.50	0.17901
517.69	0.17880
517.87	0.18007
518.06	0.17908
518.25	0.18201
518.44	0.18328
518.62	0.18313
518.81	0.18319
519.00	0.18450
519.19	0.18489
519.37	0.18680
519.56	0.18610
519.75	0.18735
519.94	0.18880
520.12	0.18826
520.31	0.18993
520.50	0.19005
520.69	0.19074
520.88	0.19197
521.06	0.19294
521.25	0.19475
521.44	0.19492
521.63	0.19563
521.81	0.19572
522.00	0.19743
522.19	0.19751
522.37	0.19713
522.56	0.19879
522.75	0.20116
522.94	0.20048
523.13	0.20329
523.31	0.20273
523.50	0.20354
523.69	0.20528
523.88	0.20398
524.06	0.20571
524.25	0.20630
524.44	0.20748
524.62	0.20856
524.81	0.20999
525.00	0.20960
525.19	0.21233
525.38	0.20980
525.56	0.21334
525.75	0.21404
525.94	0.21296
526.12	0.21405
526.31	0.21334
526.50	0.21506
526.69	0.21682
526.87	0.21744
527.06	0.21760
527.25	0.21894
527.44	0.22025
527.62	0.21927
527.81	0.21920
528.00	0.21988
528.19	0.22045
528.37	0.22141
528.56	0.22396
528.75	0.22310
528.94	0.22522
529.12	0.22478
529.31	0.22720
529.50	0.22566
529.69	0.22763
529.87	0.22704
530.06	0.22750
530.25	0.22835
530.44	0.22991
530.63	0.23061
530.81	0.23058
531.00	0.23043
531.19	0.23105
531.38	0.23062
531.56	0.23192
531.75	0.23175
531.94	0.23424
532.12	0.23269
532.31	0.23489
532.50	0.23375
532.69	0.23466
532.88	0.23495
533.06	0.23628
533.25	0.23703
533.44	0.23780
533.62	0.23865
533.81	0.23701
534.00	0.23959
534.19	0.23799
534.37	0.24105
534.56	0.24081
534.75	0.24030
534.94	0.24160
535.13	0.24225
535.31	0.24141
535.50	0.24335
535.69	0.24400
535.87	0.24564
536.06	0.24464
536.25	0.24588
536.44	0.24699
536.62	0.24716
