Wavelength (nm)	E20 abs N
496.50	0.029359
496.75	0.030815
497.00	0.030010
497.25	0.030650
497.50	0.029100
497.75	0.029165
498.00	0.029247
498.25	0.027169
498.50	0.028683
498.75	0.027932
499.00	0.028272
499.25	0.027081
499.50	0.026423
499.75	0.026452
500.00	0.026899
500.25	0.026722
500.50	0.026711
500.75	0.025531
501.00	0.026857
501.25	0.025125
501.50	0.024415
501.75	0.024133
502.00	0.024092
502.25	0.023681
502.50	0.023546
502.75	0.024303
503.00	0.024632
503.25	0.023693
503.50	0.023628
503.75	0.022830
504.00	0.021427
504.25	0.022155
504.50	0.020980
504.75	0.020992
505.00	0.021174
505.25	0.022372
505.50	0.020546
505.75	0.020810
506.00	0.020211
506.25	0.021626
506.50	0.021386
506.75	0.020734
507.00	0.020100
507.25	0.019718
507.50	0.021374
507.75	0.019061
508.00	0.020440
508.25	0.019542
508.50	0.019019
508.75	0.020153
509.00	0.018667
509.25	0.019219
509.50	0.018391
509.75	0.017974
510.00	0.018045
510.25	0.017681
510.50	0.017311
510.75	0.018139
511.00	0.017974
511.25	0.017540
511.50	0.017616
511.75	0.018691
512.00	0.016689
512.25	0.018215
512.50	0.017370
512.75	0.016970
513.00	0.016812
513.25	0.016008
513.50	0.016841
513.75	0.016859
514.00	0.015309
514.25	0.015649
514.50	0.015649
514.75	0.017017
515.00	0.016565
515.25	0.015062
515.50	0.015831
515.75	0.016501
516.00	0.015896
516.25	0.014604
516.50	0.015133
516.75	0.014411
517.00	0.014123
517.25	0.015673
517.50	0.015837
517.75	0.015027
518.00	0.015544
518.25	0.014469
518.50	0.015291
518.75	0.013407
519.00	0.015356
519.25	0.014516
519.50	0.014211
519.75	0.014111
520.00	0.013172
520.25	0.013589
520.50	0.014105
520.75	0.014364
521.00	0.014299
521.25	0.014575
521.50	0.013319
521.75	0.012573
522.00	0.013219
522.25	0.013753
522.50	0.012802
522.75	0.013025
523.00	0.012708
523.25	0.012397
523.50	0.012790
523.75	0.012955
524.00	0.012168
524.25	0.011170
524.50	0.012326
524.75	0.012790
525.00	0.011551
525.25	0.013178
525.50	0.012103
525.75	0.012778
526.00	0.011088
526.25	0.010776
526.50	0.0098840
526.75	0.011886
527.00	0.010454
527.25	0.012491
527.50	0.010706
527.75	0.011857
528.00	0.010448
528.25	0.011199
528.50	0.011358
528.75	0.011346
529.00	0.010747
529.25	0.010911
529.50	0.010395
529.75	0.0093439
530.00	0.010782
530.25	0.010988
530.50	0.010765
530.75	0.010970
531.00	0.0095846
531.25	0.0095141
531.50	0.010448
531.75	0.0098899
532.00	0.0095552
532.25	0.010125
532.50	0.010013
532.75	0.0089623
533.00	0.0092734
533.25	0.0088683
533.50	0.0096785
533.75	0.0096433
534.00	0.010436
534.25	0.0087803
534.50	0.0094085
534.75	0.010747
535.00	0.0084162
535.25	0.0091443
535.50	0.0092206
535.75	0.0090445
536.00	0.0086863
536.25	0.0086922
536.50	0.0095670
536.75	0.0087215
537.00	0.0090151
537.25	0.0086746
537.50	0.0075943
537.75	0.0083869
538.00	0.0092734
538.25	0.0084750
538.50	0.0081990
538.75	0.0082225
539.00	0.0083340
539.25	0.0091971
539.50	0.0077058
539.75	0.0086335
540.00	0.0084339
540.25	0.0081403
540.50	0.0072303
540.75	0.0085219
541.00	0.0073242
541.25	0.0079935
541.50	0.0074945
541.75	0.0081638
542.00	0.0080992
542.25	0.0065903
542.50	0.0069132
542.75	0.0069661
543.00	0.0063320
543.25	0.0069661
543.50	0.0068604
543.75	0.0064435
544.00	0.0069015
544.25	0.0067312
544.50	0.0074416
544.75	0.0066784
545.00	0.0072949
545.25	0.0073536
545.50	0.0075767
545.75	0.0058153
546.00	0.0055511
546.25	0.0055277
546.50	0.0068369
546.75	0.0060091
547.00	0.0065140
547.25	0.0064142
547.50	0.0048818
547.75	0.0065845
548.00	0.0074123
548.25	0.0071422
548.50	0.0052869
548.75	0.0068252
549.00	0.0051049
549.25	0.0060678
549.50	0.0049758
549.75	0.0048290
550.00	0.0057566
550.25	0.0048818
