Wavelength (nm)	E22 abs N
578.50	0.0024093
578.75	0.00090971
579.00	0.0013788
579.25	0.0018478
579.50	0.0027078
579.75	0.0017981
580.00	0.0025372
580.25	0.0018834
580.50	0.0010590
580.75	0.0014174
581.00	0.00067517
581.25	0.00094524
581.50	0.0042216
581.75	0.0017057
582.00	0.0025514
582.25	0.0018550
582.50	0.0037241
582.75	-0.00076046
583.00	0.0018621
583.25	0.0013646
583.50	0.00098078
583.75	0.0020540
584.00	0.0030632
584.25	0.0031129
584.50	0.00088128
584.75	0.0017768
585.00	0.0018265
585.25	0.00058278
585.50	0.0013859
585.75	0.0015565
586.00	0.0032551
586.25	0.0020184
586.50	0.0020895
586.75	0.0021250
587.00	0.0012082
587.25	0.0032124
587.50	0.0018123
587.75	0.0030987
588.00	0.0024235
588.25	0.0017270
588.50	-0.00026296
588.75	0.0013788
589.00	0.00079600
589.25	0.0014498
589.50	0.0010803
589.75	0.0024875
590.00	0.0030276
590.25	0.0013717
590.50	0.0015778
590.75	0.0017483
591.00	0.00017768
591.25	0.0021250
591.50	0.0024804
591.75	0.00019900
592.00	0.0013006
592.25	0.0010590
592.50	0.00022032
592.75	0.0011940
593.00	0.0010945
593.25	0.0016915
593.50	0.0031342
593.75	0.0022601
594.00	0.0010376
594.25	0.0014001
594.50	0.00033403
594.75	0.00068939
595.00	0.0014854
595.25	0.0013432
595.50	0.0027007
595.75	0.0020468
596.00	0.0022601
596.25	0.0026794
596.50	0.0012153
596.75	0.0013432
597.00	0.00098078
597.25	0.0022885
597.50	-0.00054725
597.75	0.0013361
598.00	0.0017768
598.25	0.00066807
598.50	0.0029352
