Wavelength (nm)	P03 abs N
587.00	0.00063973
587.25	0.00069278
587.50	0.00040670
587.75	0.00066436
588.00	0.00081340
588.25	0.0010584
588.50	0.00032776
588.75	0.0012169
589.00	0.0015649
589.25	0.0019729
589.50	0.00076351
589.75	0.0011904
590.00	0.0020285
590.25	-0.00020588
590.50	0.0014923
590.75	0.0015365
591.00	0.0010199
591.25	0.0018384
591.50	0.0014279
591.75	0.0011184
592.00	0.0010862
592.25	0.0010439
592.50	0.0016009
592.75	0.00096813
593.00	0.0014973
593.25	0.0011980
593.50	0.0020171
593.75	1.8946e-06
594.00	0.00041996
594.25	0.0018914
594.50	0.00058542
594.75	0.00068078
595.00	0.00065363
595.25	0.0010786
595.50	0.00048438
595.75	0.00098834
596.00	0.0014310
596.25	0.0012201
596.50	0.0018333
596.75	0.00074394
597.00	0.00073320
597.25	0.00050838
597.50	0.0017045
597.75	0.00036755
598.00	0.00060311
598.25	0.0018017
598.50	-0.00015409
598.75	0.0013982
599.00	0.0013483
599.25	0.00097507
599.50	0.0016672
599.75	0.00028734
600.00	0.0013919
