Wavelength (nm)	C09 abs N
546.00	0.00075920
546.25	0.0026233
546.50	0.0014472
546.75	0.0013015
547.00	0.0010303
547.25	0.00044400
547.50	0.00089138
547.75	3.3893e-05
548.00	0.00022369
548.25	3.0504e-05
548.50	0.0011863
548.75	0.0010608
549.00	0.0012066
549.25	0.00063719
549.50	0.00095239
549.75	0.0022946
550.00	0.00022708
550.25	0.0013998
550.50	0.00016946
550.75	0.00067108
551.00	0.00056940
551.25	-0.00047450
551.50	-0.00028131
551.75	-0.00071514
552.00	0.0011083
552.25	0.00066091
552.50	0.00086088
552.75	0.0017590
553.00	0.0020234
553.25	0.0018099
553.50	0.00024064
553.75	0.0010642
554.00	0.00042705
554.25	0.00028470
554.50	0.00067447
554.75	-0.00022030
555.00	0.0010846
555.25	0.00053551
555.50	0.00089816
555.75	0.00026098
556.00	0.0011388
556.25	0.00085749
556.50	0.0011388
556.75	0.0012032
557.00	-0.00041688
557.25	0.00088461
557.50	0.00061346
557.75	0.00066091
558.00	0.00015252
558.25	0.00082699
558.50	0.0012574
558.75	-8.1343e-05
559.00	0.0017116
559.25	-0.00023047
559.50	0.00088799
559.75	0.0011761
560.00	0.0013049
560.25	0.00046772
560.50	-0.00075581
560.75	0.00032198
561.00	0.00045755
561.25	0.00081343
561.50	0.00032537
561.75	-0.00025420
562.00	-0.00038977
562.25	0.00093883
562.50	0.0019421
562.75	0.00077954
563.00	0.0010100
563.25	-9.1511e-05
563.50	0.0013286
563.75	0.00088122
564.00	-0.00012201
564.25	0.00055245
564.50	0.0011388
564.75	0.0014608
565.00	0.00065413
565.25	0.00030165
565.50	0.00052195
565.75	0.00050500
566.00	9.6510e-08
566.25	0.00018302
566.50	0.0011863
566.75	0.0015048
567.00	0.00030843
567.25	0.00088799
567.50	0.00049484
567.75	0.00065413
568.00	-0.00058974
568.25	0.00067786
568.50	0.00032876
568.75	0.0011591
569.00	0.00049484
569.25	0.00026775
569.50	-0.00045078
569.75	0.00085410
570.00	6.7786e-05
570.25	0.00087105
570.50	0.0011252
570.75	0.0010202
571.00	-0.00016946
571.25	0.00017624
571.50	0.0013015
571.75	0.0013761
572.00	0.00067108
572.25	0.00053551
572.50	0.00063719
572.75	0.00031859
573.00	-0.00012540
573.25	0.00091511
573.50	0.00071853
573.75	7.7954e-05
574.00	-8.8122e-05
574.25	0.00056940
574.50	0.00058296
574.75	0.00065413
575.00	0.00090155
575.25	0.00064735
575.50	0.0015387
575.75	0.0014201
576.00	0.00050500
576.25	0.00092867
576.50	0.00061685
576.75	0.00027453
577.00	-0.00021014
577.25	0.00073548
577.50	0.00094561
577.75	-0.00018980
578.00	0.00082021
578.25	-0.00051517
578.50	0.00064397
578.75	0.00015930
579.00	3.7282e-05
579.25	0.00044061
579.50	0.0010880
579.75	0.00077954
580.00	-0.00024742
580.25	0.00049145
580.50	0.00037960
580.75	0.0012439
581.00	-0.00026775
581.25	0.00062024
581.50	0.00083377
581.75	0.00010168
582.00	0.00067447
582.25	0.00056601
582.50	0.00019658
582.75	0.00082699
583.00	0.00058974
583.25	-0.00067108
583.50	0.00036604
583.75	0.00077615
584.00	0.00037282
584.25	0.0010066
584.50	-0.00037621
584.75	0.00048806
585.00	0.00036943
585.25	0.00052195
585.50	0.00017963
585.75	-0.00015591
586.00	0.0011490
586.25	0.00082021
586.50	0.0010337
586.75	0.00053212
587.00	0.00060329
587.25	0.00055584
587.50	0.0014811
587.75	0.00074225
588.00	0.00050839
588.25	0.00045078
588.50	-1.8073e-06
588.75	-3.3893e-06
589.00	0.0021081
589.25	-0.00098967
589.50	0.00068125
589.75	0.00063041
590.00	0.00056601
590.25	0.0015659
590.50	0.00096256
590.75	0.00090494
591.00	3.3893e-05
591.25	0.0011795
591.50	0.00021353
591.75	0.0015353
592.00	0.00068125
