Wavelength (nm)	S08 abs  N
944.00	0.0060988
945.00	0.0051486
946.00	0.0057106
947.00	0.0054509
948.00	0.0039920
949.00	0.0053121
950.00	0.0047945
951.00	0.0032619
952.00	0.0045484
953.00	0.0043590
954.00	0.0030486
955.00	0.0039498
956.00	0.0037442
957.00	0.0032346
958.00	0.0034369
959.00	0.0033607
960.00	0.0032461
961.00	0.0035637
962.00	0.0028030
963.00	0.0036842
964.00	0.0032555
965.00	0.0030613
966.00	0.0025350
967.00	0.0023408
968.00	0.0022504
969.00	0.0019826
970.00	0.0015837
971.00	0.0031623
972.00	0.0014752
973.00	0.0023930
974.00	0.0011776
975.00	0.0024692
976.00	0.0018668
977.00	0.0029107
978.00	0.0024079
979.00	0.0013407
980.00	0.0031321
981.00	0.0025905
982.00	0.0041154
983.00	0.0028813
984.00	0.0034292
985.00	0.0013215
986.00	0.0033104
987.00	0.0016753
988.00	0.0036484
989.00	0.0029013
990.00	0.0026348
991.00	0.0040418
992.00	0.0017004
993.00	0.0026689
994.00	0.0027613
995.00	0.0027544
996.00	0.0035965
997.00	0.0041576
998.00	0.0042998
999.00	0.0034411
1000.0	0.0026501
