Wavelength (nm)	I18 abs N
442.25	0.081325
442.50	0.082526
442.75	0.081527
443.00	0.083074
443.25	0.082558
443.50	0.084138
443.75	0.083743
444.00	0.086596
444.25	0.086564
444.50	0.084049
444.75	0.087547
445.00	0.084638
445.25	0.088369
445.50	0.088417
445.75	0.087289
446.00	0.087539
446.25	0.088917
446.50	0.090714
446.75	0.091399
447.00	0.089771
447.25	0.091254
447.50	0.092358
447.75	0.093672
448.00	0.092294
448.25	0.092672
448.50	0.094413
448.75	0.095324
449.00	0.093333
449.25	0.095558
449.50	0.094792
449.75	0.095243
450.00	0.096388
450.25	0.097298
450.50	0.096928
450.75	0.098749
451.00	0.095074
451.25	0.099893
451.50	0.099539
451.75	0.098942
452.00	0.10113
452.25	0.10105
452.50	0.10142
452.75	0.10166
453.00	0.10307
453.25	0.10085
453.50	0.10432
453.75	0.10383
454.00	0.10368
454.25	0.10483
454.50	0.10557
454.75	0.10365
455.00	0.10382
455.25	0.10715
455.50	0.10686
455.75	0.10667
456.00	0.10821
456.25	0.10801
456.50	0.10707
456.75	0.10919
457.00	0.10966
457.25	0.11041
457.50	0.11061
457.75	0.10970
458.00	0.11084
458.25	0.10960
458.50	0.11355
458.75	0.11222
459.00	0.11301
459.25	0.11415
459.50	0.11424
459.75	0.11656
460.00	0.11479
460.25	0.11742
460.50	0.11581
460.75	0.11618
461.00	0.11723
461.25	0.11800
461.50	0.11890
461.75	0.12007
462.00	0.11990
462.25	0.12100
462.50	0.12222
462.75	0.12206
463.00	0.12228
463.25	0.12340
463.50	0.12348
463.75	0.12217
464.00	0.12344
464.25	0.12480
464.50	0.12345
464.75	0.12641
465.00	0.12548
465.25	0.12612
465.50	0.12639
465.75	0.12654
466.00	0.12771
466.25	0.12926
466.50	0.12925
466.75	0.12926
467.00	0.13163
467.25	0.13094
467.50	0.13078
467.75	0.12976
468.00	0.13055
468.25	0.13241
468.50	0.13200
468.75	0.13282
469.00	0.13326
469.25	0.13555
469.50	0.13355
469.75	0.13597
470.00	0.13441
470.25	0.13446
470.50	0.13670
470.75	0.13630
471.00	0.13767
471.25	0.13980
471.50	0.13884
471.75	0.13929
472.00	0.13905
472.25	0.13848
472.50	0.14113
472.75	0.14068
473.00	0.14169
473.25	0.14408
473.50	0.14112
473.75	0.14527
474.00	0.14403
474.25	0.14118
474.50	0.14397
474.75	0.14241
475.00	0.14440
475.25	0.14408
475.50	0.14825
475.75	0.14619
476.00	0.14727
476.25	0.14803
476.50	0.14785
476.75	0.14730
477.00	0.14765
477.25	0.14934
477.50	0.15013
477.75	0.15119
478.00	0.15062
478.25	0.15067
478.50	0.14974
478.75	0.15282
479.00	0.15105
479.25	0.15180
479.50	0.15374
479.75	0.15194
480.00	0.15508
480.25	0.15273
480.50	0.15376
480.75	0.15543
481.00	0.15328
481.25	0.15619
481.50	0.15544
481.75	0.15660
482.00	0.15466
482.25	0.15592
482.50	0.15693
482.75	0.15757
483.00	0.15674
483.25	0.15747
483.50	0.15798
483.75	0.15872
484.00	0.15991
484.25	0.16021
484.50	0.16005
484.75	0.16051
485.00	0.16064
485.25	0.16143
485.50	0.16133
485.75	0.16112
486.00	0.16379
486.25	0.16168
486.50	0.16146
486.75	0.16201
487.00	0.16159
487.25	0.16181
487.50	0.16255
487.75	0.16490
488.00	0.16484
488.25	0.16442
488.50	0.16541
488.75	0.16594
489.00	0.16607
489.25	0.16562
489.50	0.16752
489.75	0.16487
490.00	0.16784
490.25	0.16730
490.50	0.16763
490.75	0.16694
491.00	0.16769
491.25	0.16778
491.50	0.16894
491.75	0.16852
492.00	0.16777
492.25	0.17037
492.50	0.16726
492.75	0.17063
493.00	0.16986
493.25	0.16946
493.50	0.17056
493.75	0.17068
494.00	0.17216
494.25	0.17089
494.50	0.17266
494.75	0.17413
495.00	0.17232
495.25	0.17333
495.50	0.17479
495.75	0.17497
496.00	0.17458
496.25	0.17475
496.50	0.17682
496.75	0.17497
497.00	0.17390
497.25	0.17538
497.50	0.17487
497.75	0.17416
498.00	0.17532
498.25	0.17705
498.50	0.17629
498.75	0.17603
499.00	0.17745
499.25	0.17720
499.50	0.18017
499.75	0.17893
500.00	0.17919
500.25	0.17811
500.50	0.17815
500.75	0.18012
501.00	0.18035
501.25	0.18098
501.50	0.18069
501.75	0.18038
502.00	0.17926
502.25	0.18346
502.50	0.18300
502.75	0.18324
503.00	0.18269
503.25	0.18325
503.50	0.18375
503.75	0.18293
504.00	0.18364
504.25	0.18538
504.50	0.18550
504.75	0.18392
505.00	0.18644
505.25	0.18390
505.50	0.18682
505.75	0.18739
506.00	0.18675
506.25	0.18697
506.50	0.18650
506.75	0.18882
507.00	0.18673
507.25	0.18696
507.50	0.18827
507.75	0.18698
508.00	0.18995
508.25	0.19061
508.50	0.19038
508.75	0.19174
509.00	0.19062
509.25	0.19036
509.50	0.18942
509.75	0.19135
510.00	0.19401
510.25	0.19236
510.50	0.19339
510.75	0.19242
511.00	0.19292
511.25	0.19394
511.50	0.19517
511.75	0.19419
512.00	0.19347
512.25	0.19743
512.50	0.19642
512.75	0.19906
513.00	0.19614
513.25	0.19726
513.50	0.19641
513.75	0.19689
514.00	0.19742
514.25	0.19969
514.50	0.20136
514.75	0.20157
515.00	0.19932
515.25	0.20094
515.50	0.20261
515.75	0.20228
516.00	0.20362
516.25	0.20531
516.50	0.20324
516.75	0.20587
517.00	0.20639
517.25	0.20625
517.50	0.20537
517.75	0.20817
518.00	0.20804
518.25	0.20817
518.50	0.21004
518.75	0.20843
519.00	0.21200
519.25	0.20851
519.50	0.21049
519.75	0.21259
520.00	0.21279
520.25	0.21270
520.50	0.21248
520.75	0.21324
521.00	0.21257
521.25	0.21609
521.50	0.21506
521.75	0.21602
522.00	0.21702
522.25	0.22016
522.50	0.21942
522.75	0.21802
523.00	0.21982
523.25	0.22107
523.50	0.22081
523.75	0.22263
524.00	0.22116
524.25	0.22831
524.50	0.22453
524.75	0.22509
525.00	0.22507
525.25	0.22812
525.50	0.23064
525.75	0.23045
526.00	0.23051
526.25	0.22967
526.50	0.23260
526.75	0.23268
527.00	0.23352
527.25	0.23333
527.50	0.23621
527.75	0.23784
528.00	0.23715
528.25	0.23746
528.50	0.23971
528.75	0.24318
529.00	0.24224
529.25	0.24115
529.50	0.24370
529.75	0.24486
530.00	0.24814
530.25	0.24594
530.50	0.25046
530.75	0.25032
531.00	0.25122
531.25	0.25290
531.50	0.25274
531.75	0.25469
532.00	0.25679
532.25	0.25983
532.50	0.25983
532.75	0.25867
533.00	0.26355
533.25	0.26235
533.50	0.26545
533.75	0.26390
534.00	0.26859
534.25	0.26773
534.50	0.27132
534.75	0.27159
535.00	0.27220
535.25	0.27419
535.50	0.27607
535.75	0.27834
536.00	0.27902
536.25	0.28183
536.50	0.28498
536.75	0.28552
537.00	0.28673
537.25	0.28818
537.50	0.29219
537.75	0.29208
538.00	0.29348
538.25	0.29498
538.50	0.29750
538.75	0.30022
539.00	0.30203
539.25	0.30601
539.50	0.30652
539.75	0.30827
540.00	0.31231
540.25	0.31122
540.50	0.31422
540.75	0.31772
541.00	0.32055
541.25	0.32234
541.50	0.32568
541.75	0.32543
542.00	0.32815
542.25	0.33235
542.50	0.33287
542.75	0.33443
543.00	0.33904
543.25	0.34039
543.50	0.34321
543.75	0.34561
544.00	0.34823
544.25	0.35001
544.50	0.35358
544.75	0.35232
545.00	0.35528
545.25	0.35903
545.50	0.36004
545.75	0.36390
546.00	0.36482
546.25	0.37048
546.50	0.37063
546.75	0.37416
547.00	0.37360
547.25	0.37588
547.50	0.38174
547.75	0.38243
548.00	0.38688
548.25	0.38581
548.50	0.38988
548.75	0.39163
549.00	0.39505
549.25	0.39689
549.50	0.39792
549.75	0.40098
550.00	0.40257
550.25	0.40568
550.50	0.40828
550.75	0.40973
551.00	0.41476
551.25	0.41557
551.50	0.41785
551.75	0.41980
552.00	0.42381
552.25	0.42597
552.50	0.42857
552.75	0.43052
553.00	0.43330
553.25	0.43600
553.50	0.43899
553.75	0.43966
554.00	0.44385
554.25	0.44529
554.50	0.44835
554.75	0.45114
555.00	0.45374
555.25	0.45730
555.50	0.46013
555.75	0.46488
556.00	0.46602
556.25	0.47009
556.50	0.47103
556.75	0.47455
557.00	0.47671
557.25	0.47752
557.50	0.48080
557.75	0.48505
558.00	0.48750
558.25	0.48930
558.50	0.49017
558.75	0.49581
559.00	0.49637
559.25	0.49736
559.50	0.50106
559.75	0.50455
560.00	0.50739
560.25	0.50928
560.50	0.50996
560.75	0.51560
561.00	0.51775
561.25	0.51950
561.50	0.52288
561.75	0.52457
562.00	0.52645
562.25	0.53101
562.50	0.53321
562.75	0.53214
563.00	0.53728
563.25	0.53868
563.50	0.54233
563.75	0.54386
564.00	0.54298
564.25	0.55127
564.50	0.55184
564.75	0.55412
565.00	0.55629
565.25	0.55692
565.50	0.55940
565.75	0.56272
566.00	0.56467
566.25	0.56930
566.50	0.57095
566.75	0.57209
567.00	0.57252
567.25	0.57785
567.50	0.57771
567.75	0.58343
568.00	0.58226
568.25	0.58714
568.50	0.58783
568.75	0.59087
569.00	0.59239
569.25	0.59514
569.50	0.59931
569.75	0.59912
570.00	0.60110
570.25	0.60395
570.50	0.60623
570.75	0.60771
571.00	0.61113
571.25	0.61385
571.50	0.61502
571.75	0.61739
572.00	0.61982
572.25	0.62501
572.50	0.62492
572.75	0.63069
573.00	0.62841
573.25	0.63264
573.50	0.63347
573.75	0.63668
574.00	0.63767
574.25	0.63908
574.50	0.64551
574.75	0.64680
575.00	0.64932
575.25	0.65183
575.50	0.65693
575.75	0.65947
576.00	0.66246
576.25	0.66424
576.50	0.67104
576.75	0.67127
577.00	0.67600
577.25	0.67789
577.50	0.68239
577.75	0.68666
578.00	0.69127
578.25	0.69209
578.50	0.69583
578.75	0.70221
579.00	0.70421
579.25	0.71029
579.50	0.71405
579.75	0.71821
580.00	0.72236
580.25	0.72573
580.50	0.72916
580.75	0.73490
581.00	0.73507
581.25	0.74460
581.50	0.74920
581.75	0.75434
582.00	0.76053
582.25	0.76373
582.50	0.76871
582.75	0.77437
583.00	0.77674
583.25	0.78241
583.50	0.78725
583.75	0.79316
584.00	0.79906
584.25	0.80342
584.50	0.80563
584.75	0.81089
585.00	0.81468
585.25	0.81970
585.50	0.82849
585.75	0.83157
586.00	0.83860
586.25	0.84242
586.50	0.84470
586.75	0.85219
587.00	0.85627
587.25	0.86442
587.50	0.86591
587.75	0.86925
588.00	0.87547
588.25	0.88005
588.50	0.88261
588.75	0.89015
589.00	0.89081
589.25	0.89712
589.50	0.90134
589.75	0.90727
590.00	0.90898
590.25	0.91121
590.50	0.91698
590.75	0.92096
591.00	0.92438
591.25	0.92861
591.50	0.92928
591.75	0.93682
592.00	0.94156
592.25	0.94291
592.50	0.94575
592.75	0.95112
593.00	0.95227
593.25	0.95814
593.50	0.95825
593.75	0.96022
594.00	0.96311
594.25	0.96772
594.50	0.96838
594.75	0.97223
595.00	0.97315
595.25	0.97828
595.50	0.97815
595.75	0.98059
596.00	0.97920
596.25	0.98446
596.50	0.98571
596.75	0.98736
597.00	0.98637
597.25	0.98749
597.50	0.99179
597.75	0.99248
598.00	0.99124
598.25	0.99259
598.50	0.99381
598.75	0.99438
599.00	0.99431
599.25	0.99394
599.50	0.99786
599.75	0.99797
600.00	0.99764
600.25	0.99927
600.50	0.99834
600.75	0.99963
601.00	0.99736
601.25	0.99677
601.50	0.99797
601.75	0.99605
602.00	0.99825
602.25	0.99920
602.50	0.99842
602.75	0.99900
603.00	1.0000
603.25	0.99451
603.50	0.99541
603.75	0.99203
604.00	0.99570
604.25	0.99729
604.50	0.99220
604.75	0.99170
605.00	0.99297
605.25	0.98931
605.50	0.98928
605.75	0.99045
606.00	0.98839
606.25	0.98876
606.50	0.98740
