Wavelength (nm)	K10 abs 1
447.25	0.037007
447.50	0.037045
447.75	0.036294
448.00	0.036943
448.25	0.038753
448.50	0.038510
448.75	0.039721
449.00	0.040964
449.25	0.041245
449.50	0.041921
449.75	0.042267
450.00	0.042959
450.25	0.042375
450.50	0.043013
450.75	0.044597
451.00	0.045500
451.25	0.044846
451.50	0.046754
451.75	0.047462
452.00	0.047376
452.25	0.048403
452.50	0.048705
452.75	0.048435
453.00	0.050041
453.25	0.051608
453.50	0.052197
453.75	0.052662
454.00	0.053079
454.25	0.053819
454.50	0.052673
454.75	0.054825
455.00	0.055333
455.25	0.056008
455.50	0.056419
455.75	0.058527
456.00	0.058425
456.25	0.058938
456.50	0.059879
456.75	0.061874
457.00	0.062182
457.25	0.062793
457.50	0.063858
457.75	0.064495
458.00	0.066690
458.25	0.067485
458.50	0.067696
458.75	0.068809
459.00	0.069571
459.25	0.070609
459.50	0.072226
459.75	0.074312
460.00	0.073453
460.25	0.074199
460.50	0.076101
460.75	0.077891
461.00	0.078258
461.25	0.080664
461.50	0.080626
461.75	0.083091
462.00	0.083507
462.25	0.085296
462.50	0.085199
462.75	0.088821
463.00	0.088118
463.25	0.090032
463.50	0.090562
463.75	0.093000
464.00	0.094729
464.25	0.094665
464.50	0.099032
464.75	0.098065
465.00	0.10147
465.25	0.10080
465.50	0.10401
465.75	0.10407
466.00	0.10589
466.25	0.10841
466.50	0.11056
466.75	0.11239
467.00	0.11286
467.25	0.11463
467.50	0.11657
467.75	0.11873
468.00	0.11951
468.25	0.12188
468.50	0.12442
468.75	0.12495
469.00	0.12717
469.25	0.12916
469.50	0.12977
469.75	0.13215
470.00	0.13523
470.25	0.13546
470.50	0.13753
470.75	0.13985
471.00	0.14074
471.25	0.14395
471.50	0.14445
471.75	0.14758
472.00	0.15078
472.25	0.15209
472.50	0.15323
472.75	0.15627
473.00	0.15724
473.25	0.15928
473.50	0.16187
473.75	0.16327
474.00	0.16467
474.25	0.16701
474.50	0.16772
474.75	0.17028
475.00	0.17323
475.25	0.17453
475.50	0.17834
475.75	0.18064
476.00	0.18333
476.25	0.18585
476.50	0.18508
476.75	0.18877
477.00	0.18904
477.25	0.19245
477.50	0.19436
477.75	0.19704
478.00	0.19718
478.25	0.19886
478.50	0.20076
478.75	0.20269
479.00	0.20412
479.25	0.20663
479.50	0.20856
479.75	0.21127
480.00	0.21110
480.25	0.21355
480.50	0.21564
480.75	0.21618
481.00	0.21869
481.25	0.22066
481.50	0.22217
481.75	0.22479
482.00	0.22511
482.25	0.22775
482.50	0.22969
482.75	0.23081
483.00	0.23343
483.25	0.23417
483.50	0.23636
483.75	0.23848
484.00	0.24142
484.25	0.24274
484.50	0.24352
484.75	0.24611
485.00	0.24831
485.25	0.25018
485.50	0.25233
485.75	0.25349
486.00	0.25632
486.25	0.25893
486.50	0.26110
486.75	0.26225
487.00	0.26355
487.25	0.26746
487.50	0.26888
487.75	0.27158
488.00	0.27323
488.25	0.27597
488.50	0.27923
488.75	0.28323
489.00	0.28380
489.25	0.28730
489.50	0.29071
489.75	0.29265
490.00	0.29677
490.25	0.29801
490.50	0.30097
490.75	0.30452
491.00	0.30835
491.25	0.30925
491.50	0.31413
491.75	0.31729
492.00	0.32082
492.25	0.32402
492.50	0.32689
492.75	0.33067
493.00	0.33448
493.25	0.34012
493.50	0.34058
493.75	0.34539
494.00	0.34935
494.25	0.35267
494.50	0.35375
494.75	0.35728
495.00	0.35999
495.25	0.36590
495.50	0.36786
495.75	0.37358
496.00	0.37708
496.25	0.38200
496.50	0.38741
496.75	0.39157
497.00	0.39609
497.25	0.39948
497.50	0.40541
497.75	0.41028
498.00	0.41549
498.25	0.42015
498.50	0.42366
498.75	0.42884
499.00	0.43497
499.25	0.44045
499.50	0.44339
499.75	0.45046
500.00	0.45522
500.25	0.46244
