Wavelength (nm)	O-2, 67769-47-5, Lucifer Yellow CH.ems
692.00	0.078704
692.50	0.078126
693.00	0.078276
693.50	0.076756
694.00	0.076110
694.50	0.075975
695.00	0.074476
695.50	0.072324
696.00	0.073509
696.50	0.070949
697.00	0.068837
697.50	0.069442
698.00	0.072280
698.50	0.071567
699.00	0.069622
699.50	0.069159
700.00	0.067583
