Wavelength (nm)	O03 abs N
384.00	0.0056788
384.25	0.011521
384.50	0.0094222
384.75	0.0053426
385.00	0.0070871
385.25	0.0060967
385.50	0.0046248
385.75	0.0066692
386.00	0.0082865
386.25	0.0049428
386.50	0.0035345
386.75	0.0048701
387.00	0.0050155
387.25	0.0064965
387.50	0.0046793
387.75	0.0039615
388.00	0.0041251
388.25	4.5430e-05
388.50	0.0034254
388.75	0.0034709
389.00	0.00017263
389.25	0.0060604
389.50	0.0048338
389.75	0.0028712
390.00	0.0056333
390.25	0.0033437
390.50	0.0038252
390.75	0.0029802
391.00	0.00093586
391.25	0.0022079
391.50	0.0057424
391.75	0.0049973
392.00	0.00081774
392.25	0.0033709
392.50	-9.0860e-06
392.75	0.0048156
393.00	0.0031801
393.25	0.00076323
393.50	0.0027894
393.75	0.0020444
394.00	0.0020625
394.25	0.0022261
394.50	0.0035981
394.75	0.0014083
395.00	0.0027894
395.25	-0.0010722
395.50	-8.1774e-05
395.75	-0.0011176
396.00	0.0012720
396.25	0.0010086
396.50	0.0028439
396.75	0.00051790
397.00	-7.2688e-05
397.25	0.0012993
397.50	0.0015628
397.75	0.00019081
398.00	0.0022806
398.25	0.0041887
398.50	-0.00062694
398.75	0.0026259
399.00	0.00081774
399.25	0.0013084
399.50	-0.00076323
399.75	0.0017990
400.00	0.00072688
400.25	-0.00090860
400.50	-0.00067237
400.75	-0.00016355
401.00	0.0010176
401.25	-0.0022170
401.50	-0.00059968
401.75	0.0026713
402.00	0.0015628
402.25	0.0033618
402.50	-0.00037253
402.75	-0.0016718
403.00	0.0016446
403.25	0.00037253
403.50	-0.00069963
403.75	-0.00019081
404.00	0.0012720
404.25	9.0860e-05
404.50	0.00027258
404.75	0.0013266
405.00	0.0027440
405.25	0.0024987
405.50	0.00047247
405.75	0.00097221
406.00	0.00061785
406.25	0.0023169
406.50	0.00022715
406.75	0.0010812
407.00	-0.00069963
407.25	0.00068145
407.50	0.0012448
407.75	0.00064511
408.00	0.0015719
408.25	0.00087226
408.50	0.0024623
408.75	0.00098129
409.00	-0.00073597
409.25	0.0027803
409.50	-0.00061785
409.75	-0.0011994
410.00	0.0015265
410.25	-0.0012630
410.50	-0.00015446
410.75	-0.00027258
411.00	0.0012175
411.25	0.00042704
411.50	0.00059059
411.75	-0.00081774
412.00	-0.00033618
412.25	-0.00084500
412.50	0.0020080
412.75	0.00036344
413.00	-0.00035436
413.25	0.0019989
413.50	-0.00024532
413.75	0.0020171
414.00	-0.0017445
414.25	0.00077231
414.50	0.00032710
414.75	0.0012720
415.00	0.0023351
415.25	0.00031801
415.50	0.0021897
415.75	-0.0015810
416.00	-0.00025441
416.25	0.0010086
416.50	0.0010722
416.75	-0.00075414
417.00	-4.6099e-06
417.25	-0.00018172
417.50	-0.0016446
417.75	-0.00047247
418.00	-0.00042704
418.25	-0.00079957
418.50	0.00094495
418.75	0.00080866
419.00	0.00033618
419.25	0.0010358
419.50	-5.4516e-05
419.75	0.00032710
420.00	0.00092678
420.25	-0.00055425
420.50	0.0022443
420.75	0.0011721
421.00	0.00054516
421.25	0.00037253
421.50	6.3602e-05
421.75	0.00078140
422.00	-0.0019081
422.25	0.0018626
422.50	4.5430e-05
422.75	0.00037253
423.00	0.0016355
423.25	-0.0010722
423.50	-0.0012175
423.75	0.0019353
424.00	-9.9946e-05
424.25	-0.0013902
424.50	0.00097221
424.75	0.0020807
425.00	-0.0014992
425.25	-0.00027258
425.50	0.00056333
425.75	0.0010994
426.00	-0.00014538
426.25	0.00055425
426.50	0.00035436
426.75	0.00069963
427.00	-0.0021170
427.25	-0.00016355
427.50	-0.00059968
427.75	0.00099946
428.00	0.0011903
428.25	0.0011630
428.50	-0.00040887
428.75	0.0016718
429.00	-0.00010903
429.25	0.0013538
429.50	9.0860e-05
429.75	-0.00086317
430.00	-0.0012539
430.25	0.0017536
430.50	0.0010176
430.75	0.0010358
431.00	-0.0012539
431.25	0.00022715
431.50	0.00013629
431.75	0.00072688
432.00	-0.0013629
432.25	-0.0011448
432.50	0.00023624
432.75	0.00058151
433.00	-0.00060876
433.25	-0.00049065
433.50	-0.00099946
433.75	8.1774e-05
434.00	0.00037253
434.25	-0.0010722
434.50	0.0021988
434.75	-0.00056333
435.00	-0.0012539
435.25	0.0018808
435.50	0.00088135
435.75	-0.00043613
436.00	-0.0013447
436.25	0.00035436
436.50	0.00055425
436.75	0.00026350
437.00	0.00077231
437.25	-0.00043613
437.50	-0.00079957
437.75	-0.0015628
438.00	0.0020262
438.25	0.0033982
438.50	-0.00083592
438.75	-0.00016355
439.00	0.0014265
439.25	0.00018172
439.50	0.00026350
439.75	0.00045430
440.00	0.0011539
440.25	-0.0012448
440.50	-0.0022988
440.75	-0.00066328
441.00	4.5430e-05
441.25	-0.0010176
441.50	0.0018808
441.75	-0.00068145
442.00	0.0034890
442.25	-0.0013993
442.50	-0.00053608
442.75	-0.0011994
443.00	0.0012539
443.25	-0.00075414
443.50	0.0011267
443.75	-0.00088135
444.00	-0.0015991
444.25	0.0016082
444.50	0.00068145
444.75	-0.00041796
445.00	0.00049973
445.25	0.00045430
445.50	-0.00036344
445.75	-0.00088135
446.00	-0.00027258
446.25	0.0030893
446.50	0.00019989
446.75	-0.00029075
447.00	-0.00035436
447.25	0.0013720
447.50	0.00090860
447.75	0.00077231
448.00	-4.5430e-05
448.25	-0.0014447
448.50	0.0010812
448.75	0.0018899
449.00	-0.00039979
449.25	0.0025077
449.50	0.0013720
449.75	0.0019081
450.00	0.00069054
450.25	-0.00064511
450.50	0.00043613
450.75	0.0015991
451.00	0.0013356
451.25	-7.2688e-05
451.50	-2.7258e-05
451.75	0.00014538
452.00	0.0011267
452.25	0.00075414
452.50	-0.00014538
452.75	0.00028167
453.00	-0.0029893
453.25	0.0015083
453.50	-0.0016173
453.75	0.00084500
454.00	0.0015265
454.25	0.0017173
454.50	-0.00092678
454.75	0.00039070
455.00	0.00029984
455.25	-0.00068145
455.50	0.00021807
455.75	-0.00097221
456.00	0.00070871
456.25	-0.0010358
456.50	2.7258e-05
456.75	-0.0012084
457.00	-0.00023624
457.25	-0.00059968
457.50	-0.00026350
457.75	0.00049973
458.00	-0.0011994
458.25	0.00069963
458.50	0.00016355
458.75	-0.00062694
459.00	-0.0014447
459.25	-0.00051790
459.50	3.6344e-05
459.75	-0.00053608
460.00	-0.00037253
460.25	-0.00089952
460.50	0.0012720
460.75	0.00038161
461.00	-0.0015174
461.25	-0.00061785
461.50	5.4516e-05
461.75	0.0014538
462.00	-0.00053608
462.25	0.00044522
462.50	-0.00097221
462.75	-0.0018081
463.00	0.0016355
463.25	0.00063602
463.50	0.00099038
463.75	0.00069963
464.00	0.00013629
464.25	-0.00051790
464.50	-0.0014901
464.75	0.0010722
465.00	-0.0024623
465.25	-0.00056333
465.50	-0.00024532
465.75	-0.00027258
