,weight,available modification,product number,formula,absorption,emission max,solution,name,molar absorbance
227,859.01,Maleimide,631-03,C42H51N4O10S2 * Na,637,657,(in Ethanol),DY-631,"200,000"
230,852.96,Carboxylic acid,632-00,C37H46N2O12S3 * 2 Na,636,658,(in Ethanol),DY-632,"200,000"
231,950.03,NHS-ester,632-01,C41H49N3O14S3 * 2 Na,636,658,(in Ethanol),DY-632,"200,000"
232,873.05,Amino-derivative,632-02,C39H53N4O11S3 * Na,636,658,(in Ethanol),DY-632,"200,000"
233,975.08,Maleimide,632-03,C43H52N4O13S3 * 2 Na,636,658,(in Ethanol),DY-632,"200,000"
236,750.91,Carboxylic acid,633-00,C37H47N2O9S2 * Na,638,658,(in Ethanol),DY-633,"200,000"
237,847.98,NHS-ester,633-01,C41H50N3O11S2 * Na,638,658,(in Ethanol),DY-633,"200,000"
238,771.02,Amino-derivative,633-02,C39H54N4O8S2,638,658,(in Ethanol),DY-633,"200,000"
239,873.04,Maleimide,633-03,C43H53N4O10S2 * Na,638,658,(in Ethanol),DY-633,"200,000"
246,969.03,Carboxylic acid,634-00,C38H47N2O15S4 * 3 Na,636,657,(in Ethanol),DY-634,"200,000"
247,1066.10,NHS-ester,634-01,C42H50N3O17S4 * 3 Na,636,657,(in Ethanol),DY-634,"200,000"
248,989.12,Amino-derivative,634-02,C40H54N4O14S4 * 2 Na,636,657,(in Ethanol),DY-634,"200,000"
249,1091.16,Maleimide,634-03,C44H53N4O16S4 * 3 Na,636,657,(in Ethanol),DY-634,"200,000"
252,658.86,Carboxylic acid,635-00,C38H46N2O6S,648,670,(in Ethanol),DY-635,"200,000"
253,755.93,NHS-ester,635-01,C42H49N3O8S,648,670,(in Ethanol),DY-635,"200,000"
254,737.41,Amino-derivative,635-02,C40H53N4O5S * Cl,648,670,(in Ethanol),DY-635,"200,000"
255,780.99,Maleimide,635-03,C44H52N4O7S,648,670,(in Ethanol),DY-635,"200,000"
258,760.91,Carboxylic acid,636-00,C38H45N2O9S2 * Na,647,670,(in Ethanol),DY-636,"200,000"
259,857.98,NHS-ester,636-01,C42H48N3O11S2 * Na,647,670,(in Ethanol),DY-636,"200,000"
260,781.01,Amino-derivative,636-02,C40H52N4O8S2,647,670,(in Ethanol),DY-636,"200,000"
261,883.04,Maleimide,636-03,C44H51N4O10S2 * Na,647,670,(in Ethanol),DY-636,"200,000"
264,803.81,Carboxylic acid,641-00,C35H39N3O12S2 * 2 Na,624,654,(in Ethanol),DY-641,"80,000"
265,900.88,NHS-ester,641-01,C39H42N4O14S2 * 2 Na,624,654,(in Ethanol),DY-641,"80,000"
266,823.91,Amino-derivative,641-02,C37H46N5O11S2 * Na,624,654,(in Ethanol),DY-641,"80,000"
267,925.93,Maleimide,641-03,C41H45N5O13S2 * 2 Na,624,654,(in Ethanol),DY-641,"80,000"
274,833.83,Carboxylic acid,643-00,C36H41N3O13S2 * 2 Na,626,646,(in Ethanol),DY-643,"80,000"
275,930.90,NHS-ester,643-01,C40H44N4O15S2 * 2 Na,626,646,(in Ethanol),DY-643,"80,000"
276,853.93,Amino-derivative,643-02,C38H48N5O12S2 * Na,626,646,(in Ethanol),DY-643,"80,000"
277,955.96,Maleimide,643-03,C42H47N5O14S2 * 2 Na,626,646,(in Ethanol),DY-643,"80,000"
280,708.82,Carboxylic acid,647P1-00,C34H41N2O9S2 * Na,648,666,(in PBS),DY-647P1,"250,000"
281,805.89,NHS-ester,647P1-01,C38H44N3O11S2 * Na,648,666,(in PBS),DY-647P1,"250,000"
282,728.92,Amino-derivative,647P1-02,C36H48N4O8S2,648,666,(in PBS),DY-647P1,"250,000"
283,830.94,Maleimide,647P1-03,C40H47N4O10S2 * Na,648,666,(in PBS),DY-647P1,"250,000"
286,838.92,Carboxylic acid,648P1-00,C36H44N2O12S3 * 2 Na,651,669,(in PBS),DY-648P1,"250,000"
287,935.99,NHS-ester,648P1-01,C40H47N3O14S3 * 2 Na,651,669,(in PBS),DY-648P1,"250,000"
288,859.02,Amino-derivative,648P1-02,C38H51N4O11S3 * Na,651,669,(in PBS),DY-648P1,"250,000"
289,961.04,Maleimide,648P1-03,C42H50N4O13S3 * 2 Na,651,669,(in PBS),DY-648P1,"250,000"
292,969.03,Carboxylic acid,649P1-00,C38H47N2O15S4 * 3 Na,654,672,(in PBS),DY-649P1,"250,000"
293,1066.10,NHS-ester,649P1-01,C42H50N3O17S4 * 3 Na,654,672,(in PBS),DY-649P1,"250,000"
294,989.13,Amino-derivative,649P1-02,C40H54N4O14S4 * 2 Na,654,672,(in PBS),DY-649P1,"250,000"
295,1091.16,Maleimide,649P1-03,C44H53N4O16S4 * 3 Na,654,672,(in PBS),DY-649P1,"250,000"
302,686.92,Carboxylic acid,650-00,C40H50N2O6S,656,676,(in Ethanol),DY-650,"220,000"
303,783.99,NHS-ester,650-01,C44H53N3O8S,656,676,(in Ethanol),DY-650,"220,000"
304,765.46,Amino-derivative,650-02,C42H57N4O5S * Cl,656,676,(in Ethanol),DY-650,"220,000"
305,809.05,Maleimide,650-03,C46H56N4O7S,656,676,(in Ethanol),DY-650,"220,000"
308,788.96,Carboxylic acid,651-00,C40H49N2O9S2 * Na,655,677,(in Ethanol),DY-651,"220,000"
309,886.04,NHS-ester,651-01,C44H52N3O11S2 * Na,655,677,(in Ethanol),DY-651,"220,000"
310,809.06,Amino-derivative,651-02,C42H56N4O8S2,655,677,(in Ethanol),DY-651,"220,000"
311,911.09,Maleimide,651-03,C46H55N4O10S2 * Na,655,677,(in Ethanol),DY-651,"220,000"
314,905.03,Carboxylic acid,652-00,C41H50N2O12S3 * 2 Na,653,676,(in Ethanol),DY-652,"220,000"
315,1002.11,NHS-ester,652-01,C45H53N3O14S3 * 2 Na,653,676,(in Ethanol),DY-652,"220,000"
316,925.13,Amino-derivative,652-02,C43H57N4O11S3 * Na,653,676,(in Ethanol),DY-652,"220,000"
317,1027.16,Maleimide,652-03,C47H56N4O13S3 * 2 Na,653,676,(in Ethanol),DY-652,"220,000"
320,1007.08,Carboxylic acid,654-00,C41H49N2O15S4 * 3 Na,653,677,(in Ethanol),DY-654,"220,000"
321,1104.13,NHS-ester,654-01,C45H52N3O17S4 * 3 Na,653,677,(in Ethanol),DY-654,"220,000"
322,1027.18,Amino-derivative,654-02,C43H56N4O14S4 * 2 Na,653,677,(in Ethanol),DY-654,"220,000"
323,1129.21,Maleimide,654-03,C47H55N4O16S4 * 3 Na,653,677,(in Ethanol),DY-654,"220,000"
330,991.02,Carboxylic acid,660P1-00,C40H45N2O15S4 * 3 Na,663,682,(in PBS),DY-660P1,"200,000"
331,1088.09,NHS-ester,660P1-01,C44H48N3O17S4 * 3 Na,663,682,(in PBS),DY-660P1,"200,000"
